id_transaccion,fecha,categoria,monto,cantidad,region,descuento
126,2024-02-10,Electrónica,6092.0,46.0,Sur,0.49
127,2024-01-28,Deportes,6094.02,57.0,,0.0
128,2024-05-14,Deportes,7265.5,,Sur,0.35
129,2024-07-19,,6617.35,60.0,,0.44
130,2026-02-18,Alimentos,684.64,95.0,Este,0.2
131,2024-02-02,Electrónica,4574.01,30.0,Sur,0.35
132,2024-02-17,Ropa,6640.55,,Oeste,0.17
133,2025-05-17,Ropa,2960.63,52.0,Sur,0.26
134,2025-02-10,Hogar,3131.25,97.0,Este,0.47
135,2025-07-27,Deportes,1246.55,,Norte,0.02
136,2025-12-28,Electrónica,4186.73,21.0,Norte,0.13
137,2024-04-08,,9868.31,87.0,Oeste,0.05
138,2025-11-14,Electrónica,2853.91,42.0,Oeste,0.25
139,2025-12-26,Ropa,5314.83,13.0,Oeste,0.39
140,2025-06-30,Hogar,7432.62,45.0,Sur,0.49
141,2026-01-08,Alimentos,135.96,90.0,Este,0.08
142,2025-09-04,Ropa,9004.49,54.0,Este,0.02
143,2025-04-06,Alimentos,3866.11,19.0,Este,0.07
144,2025-10-04,Hogar,8691.28,27.0,Norte,0.48
145,2026-02-07,Deportes,390.44,40.0,,0.16
146,2024-01-05,Electrónica,1457.49,7.0,Oeste,0.13
147,2024-08-05,Alimentos,3225.97,25.0,Sur,0.37
148,2025-05-17,Ropa,,49.0,Norte,0.06
149,2026-02-05,Alimentos,,36.0,Sur,0.17
150,2025-02-01,Deportes,113.0,71.0,Centro,0.07
151,2026-03-05,Electrónica,6411.47,84.0,,0.49
152,2025-01-27,Alimentos,1313.99,24.0,Norte,0.14
153,2024-07-25,Deportes,8232.33,,Oeste,0.13
154,2024-01-15,Ropa,7785.95,92.0,Sur,0.32
155,2025-07-07,Hogar,4999.71,69.0,Este,0.01
156,2025-04-05,Ropa,2127.66,52.0,Centro,0.33
157,2025-11-21,Electrónica,6345.31,36.0,Oeste,0.23
158,2025-07-28,Ropa,1563.43,95.0,Centro,0.09
159,2026-01-12,Ropa,1901.05,51.0,Sur,0.24
160,2024-08-28,Ropa,6267.27,33.0,Oeste,
161,2025-07-17,Ropa,9912.28,53.0,,0.42
162,2024-04-05,Electrónica,8910.71,,Centro,0.49
163,2026-01-03,Deportes,5931.47,74.0,Norte,0.46
164,2025-04-29,Alimentos,5385.82,38.0,Sur,0.41
165,2025-02-10,Hogar,,44.0,Oeste,0.17
166,2024-08-18,Alimentos,5474.42,,Norte,0.36
167,2026-01-18,Alimentos,4201.74,31.0,Este,
168,2025-10-16,Hogar,9095.64,9.0,Este,0.21
169,2024-06-19,Electrónica,2342.61,32.0,Centro,0.44
170,2025-06-24,Hogar,976.16,41.0,Sur,0.1
171,2024-02-05,Electrónica,6341.26,,,0.15
172,2025-06-08,Alimentos,,51.0,Norte,0.47
173,2024-06-08,Electrónica,3732.11,54.0,Oeste,0.35
174,2025-11-29,,4236.35,,Norte,0.03
175,2024-08-30,Hogar,,28.0,Sur,
176,2024-03-26,Deportes,9916.59,43.0,Este,0.29
177,2026-03-06,Alimentos,2210.59,12.0,Este,0.4
178,2025-07-31,Hogar,3758.18,69.0,Oeste,0.4
179,2025-11-12,Alimentos,1323.27,72.0,Oeste,0.21
180,2025-07-10,Deportes,6076.52,17.0,Centro,0.13
181,2025-07-27,Alimentos,7277.0,8.0,,0.39
182,2025-10-07,,4821.28,98.0,Centro,0.47
183,2026-03-06,Hogar,2459.06,87.0,Norte,0.22
184,2024-01-28,,,18.0,Sur,0.07
185,2025-09-11,Hogar,5392.03,10.0,,0.3
186,2025-07-09,,,39.0,Norte,
187,2024-12-05,Alimentos,4057.41,41.0,Este,0.31
188,2026-03-08,Deportes,,44.0,Sur,0.09
189,2024-11-26,Hogar,9826.19,69.0,Este,0.26
190,2025-10-01,Hogar,8493.0,43.0,Sur,0.31
191,2025-05-20,Hogar,7343.97,81.0,Norte,0.22
192,2024-12-13,Hogar,8887.87,47.0,Este,0.41
193,2025-04-17,Alimentos,7355.1,75.0,Norte,0.19
194,2024-08-18,Deportes,9034.11,48.0,Centro,0.08
195,2024-07-08,Deportes,546.48,19.0,Sur,0.23
196,2024-08-12,Electrónica,4561.2,21.0,Oeste,0.48
197,2025-01-19,Hogar,7469.23,3.0,Este,
198,2025-01-11,Hogar,5833.37,56.0,Norte,0.16
199,2024-10-09,Electrónica,,43.0,Este,0.12
200,2025-09-24,Deportes,3405.58,1.0,Norte,0.24
201,2025-09-19,Ropa,3178.42,88.0,Centro,0.33
202,2026-01-14,Ropa,2614.21,36.0,,0.46
203,2024-09-15,Deportes,3432.01,6.0,Este,0.31
204,2024-12-24,,5149.01,74.0,Este,0.42
205,2025-12-10,Ropa,8548.83,46.0,Norte,0.35
206,2025-03-31,Alimentos,7420.58,98.0,Norte,0.05
207,2025-02-14,Alimentos,8352.65,,Este,0.45
208,2025-10-10,Electrónica,8836.15,23.0,Centro,0.1
209,2024-11-13,Deportes,4162.08,,Este,0.18
210,2025-11-07,Deportes,,53.0,Sur,0.42
211,2024-08-12,Ropa,577.18,38.0,,0.49
212,2024-08-21,Hogar,9304.98,35.0,Este,0.16
213,2025-11-14,Deportes,659.16,34.0,Centro,0.19
214,2025-10-25,Ropa,7411.61,50.0,Norte,0.24
215,2025-01-08,Ropa,3781.7,47.0,Norte,0.25
216,2025-11-02,Deportes,9487.85,36.0,Este,0.38
217,2025-08-30,,4196.6,,Oeste,
218,2025-04-16,Electrónica,8166.26,87.0,Norte,
219,2024-08-20,Electrónica,2827.26,,,0.4
220,2025-11-22,,2991.59,65.0,Sur,0.15
221,2024-04-22,Hogar,5955.59,63.0,Oeste,
222,2025-05-11,,9979.82,,Oeste,0.31
223,2025-03-17,Electrónica,5176.2,73.0,Sur,0.34
224,2025-07-17,Deportes,9363.14,76.0,Este,
225,2024-09-24,Alimentos,7862.7,60.0,Este,0.17
226,2025-05-24,Ropa,7958.84,17.0,Este,0.1
227,2025-01-20,Electrónica,4360.16,67.0,Sur,0.25
228,2025-01-21,Alimentos,3866.03,38.0,Oeste,0.08
229,2024-04-22,Hogar,1920.02,29.0,Centro,0.29
230,2025-09-04,Alimentos,9639.44,31.0,Sur,0.23
231,2025-09-16,Deportes,9593.97,99.0,,
232,2024-03-21,Hogar,,59.0,Norte,0.32
233,2025-11-29,Hogar,2963.23,54.0,Este,0.21
234,2024-04-22,,2452.55,,Norte,
235,2024-01-02,Deportes,9886.1,26.0,Sur,0.33
236,2025-10-03,Electrónica,666.36,,Sur,0.03
237,2024-08-07,Alimentos,8435.79,57.0,Sur,0.22
238,2025-07-19,Electrónica,3555.22,19.0,Centro,0.1
239,2026-01-05,Alimentos,4189.27,96.0,Norte,0.02
240,2024-08-12,Electrónica,8319.94,27.0,Oeste,0.02
241,2025-01-19,Alimentos,906.94,13.0,Este,0.08
242,2025-02-06,Hogar,3542.34,52.0,Este,
243,2025-09-29,Ropa,9520.28,98.0,Centro,0.28
244,2024-05-09,,6990.95,64.0,Norte,0.4
245,2024-02-22,,7549.63,58.0,,0.3
246,2025-11-14,Deportes,7575.29,19.0,Sur,0.26
247,2025-12-30,Hogar,606.64,83.0,,0.02
248,2025-11-02,Ropa,2032.87,3.0,,0.15
249,2025-12-10,Electrónica,4913.14,67.0,Norte,0.35
250,2025-02-19,Hogar,,26.0,Centro,0.14
251,2024-09-03,Alimentos,4109.71,6.0,Oeste,0.3
252,2025-03-14,Deportes,7814.68,13.0,Oeste,0.3
253,2024-07-21,Electrónica,147.78,27.0,Norte,0.15
254,2024-07-02,Hogar,6605.25,88.0,,0.29
255,2024-05-02,Electrónica,2.1,10.0,Este,0.06
256,2025-02-04,Alimentos,631.52,16.0,Sur,0.36
257,2026-02-05,Ropa,4083.45,23.0,Norte,0.01
258,2024-10-20,Hogar,8409.64,47.0,Norte,0.02
259,2024-10-06,Electrónica,1450.81,12.0,Este,0.44
260,2025-09-01,Electrónica,5546.65,,Sur,
261,2024-07-16,Electrónica,6785.37,77.0,,0.08
262,2025-05-25,,2296.1,18.0,Este,0.3
263,2026-01-21,,5123.79,58.0,Norte,0.18
264,2024-05-23,Deportes,9114.15,,Este,0.13
265,2025-08-31,Deportes,5122.77,46.0,Oeste,0.41
266,2024-07-19,Electrónica,1574.07,17.0,,
267,2024-05-03,,6278.51,87.0,Centro,0.15
268,2024-07-05,Hogar,,64.0,Norte,0.47
269,2024-11-21,Deportes,270.52,87.0,Centro,0.08
270,2025-04-08,Electrónica,906.85,65.0,,0.07
271,2024-12-14,Alimentos,1568.66,54.0,Norte,0.05
272,2026-02-09,,1363.75,43.0,Oeste,0.06
273,2025-10-21,Ropa,2595.4,78.0,Este,0.13
274,2026-02-02,Electrónica,,76.0,Este,0.35
275,2025-02-06,Ropa,3717.79,55.0,Oeste,0.34
276,2024-12-11,Alimentos,8906.6,14.0,Oeste,0.38
277,2025-05-25,,6121.48,44.0,Sur,0.29
278,2024-05-26,Electrónica,8761.56,38.0,Centro,0.25
279,2024-05-27,Electrónica,,58.0,Norte,0.22
280,2025-12-11,,899.61,49.0,Sur,0.44
281,2025-05-03,Electrónica,4633.41,16.0,Este,0.17
282,2025-10-01,Alimentos,8220.5,98.0,Sur,0.45
283,2025-07-04,Alimentos,1941.84,82.0,Este,0.14
284,2024-12-03,Electrónica,913.05,74.0,Oeste,0.08
285,2025-10-02,Deportes,3295.01,83.0,Norte,0.13
286,2026-02-17,Alimentos,,30.0,Norte,0.25
287,2025-04-17,Electrónica,3063.27,68.0,Norte,0.46
288,2024-05-30,Deportes,1353.27,71.0,Oeste,0.09
289,2025-02-18,,2509.15,80.0,Este,0.29
290,2024-10-24,Deportes,6823.13,37.0,Oeste,0.11
291,2025-09-02,Hogar,,69.0,Norte,0.34
292,2024-09-19,Hogar,6325.86,55.0,Norte,0.23
293,2026-02-02,Deportes,5363.5,39.0,Norte,0.37
294,2024-05-23,Alimentos,5490.97,57.0,Este,0.43
295,2024-12-11,,2486.24,49.0,Este,0.17
296,2025-09-15,Ropa,5215.9,97.0,Sur,0.47
297,2025-07-25,Electrónica,236.92,63.0,,0.23
298,2024-01-02,Ropa,4318.0,99.0,Centro,0.47
299,2024-10-30,,5726.65,34.0,Este,0.12
300,2024-09-10,,1820.77,57.0,Oeste,0.45
301,2025-10-13,Deportes,2566.33,97.0,Este,0.17
302,2025-03-28,Electrónica,2196.09,62.0,Sur,
303,2024-02-06,Deportes,706.51,39.0,Norte,0.48
304,2024-06-08,Hogar,3479.22,74.0,Sur,0.46
305,2024-01-09,Alimentos,9789.67,67.0,Sur,0.23
306,2024-08-20,Alimentos,3539.45,62.0,Sur,0.17
307,2024-04-08,Hogar,4605.9,29.0,,
308,2025-10-20,Electrónica,6531.21,99.0,Centro,0.35
309,2024-07-26,Hogar,6485.32,,Centro,0.27
310,2024-05-10,Electrónica,9498.99,60.0,Oeste,0.42
311,2025-02-07,Ropa,,39.0,Centro,0.03
312,2024-05-31,Alimentos,7939.7,79.0,,0.3
313,2024-02-23,Electrónica,,1.0,,0.26
314,2024-04-29,Deportes,2308.42,56.0,Este,0.02
315,2025-11-03,Deportes,6170.92,83.0,Centro,0.01
316,2025-09-19,Alimentos,8872.07,58.0,Este,0.3
317,2025-08-09,Hogar,6241.75,91.0,Este,0.06
318,2025-09-16,Hogar,9774.22,21.0,Norte,0.38
319,2025-02-23,Electrónica,1004.43,54.0,Centro,0.47
320,2025-02-25,Hogar,4393.86,71.0,Centro,0.09
321,2024-04-13,Alimentos,9773.64,43.0,Sur,0.4
322,2024-09-10,Electrónica,3796.3,97.0,Sur,0.3
323,2024-08-14,Ropa,7395.82,54.0,,0.22
324,2024-04-21,Hogar,305.0,2.0,Sur,0.33
325,2025-05-24,Hogar,6948.67,14.0,Norte,0.4
326,2025-04-17,Electrónica,9346.32,3.0,Centro,
327,2024-04-08,Deportes,3827.68,14.0,Norte,
328,2024-06-01,Hogar,213.98,5.0,Centro,0.37
329,2024-12-03,Alimentos,280.07,,Oeste,0.3
330,2025-12-06,Hogar,8920.33,39.0,,0.28
331,2024-06-11,,7225.43,1.0,Norte,0.03
332,2025-12-20,Hogar,,43.0,Este,0.08
333,2025-11-11,Deportes,546.85,,,0.19
334,2024-06-09,Hogar,8048.44,59.0,Sur,0.32
335,2025-08-02,,8098.79,78.0,Norte,0.04
336,2025-02-01,,1206.1,81.0,Sur,0.27
337,2024-10-03,Deportes,3015.9,15.0,Este,0.01
338,2025-05-18,Electrónica,7800.47,46.0,Sur,0.38
339,2025-01-26,Alimentos,5254.59,7.0,Oeste,0.33
340,2024-05-14,Electrónica,9565.88,42.0,Centro,0.26
341,2024-07-13,,4811.14,7.0,Oeste,0.29
342,2025-02-04,Electrónica,6769.9,47.0,Centro,0.47
343,2025-10-01,,5098.32,88.0,Oeste,0.45
344,2024-02-02,Hogar,9429.7,90.0,Sur,0.4
345,2025-11-18,Electrónica,3987.19,78.0,Sur,0.17
346,2025-04-04,Electrónica,2298.73,19.0,Este,0.05
347,2025-04-14,Electrónica,3267.01,53.0,Oeste,0.16
348,2025-01-09,Electrónica,8527.89,90.0,Centro,0.38
349,2024-01-22,Alimentos,4979.88,16.0,Centro,0.31
350,2026-01-19,Deportes,3543.17,98.0,Sur,0.35
351,2025-10-31,Deportes,5443.05,62.0,Sur,0.05
352,2024-02-07,Electrónica,1333.16,66.0,Sur,0.08
353,2024-08-17,Alimentos,54.59,65.0,Oeste,0.33
354,2024-12-30,Alimentos,,51.0,Centro,0.19
355,2025-07-16,Electrónica,6050.45,36.0,,0.18
356,2025-03-13,Ropa,7117.09,,Centro,0.2
357,2026-02-14,Electrónica,8266.27,,Centro,0.4
358,2024-10-09,Ropa,,69.0,Este,0.35
359,2024-01-27,Electrónica,4121.71,29.0,Sur,0.05
360,2024-08-13,Ropa,7405.42,1.0,Oeste,0.17
361,2024-10-03,Ropa,747.65,57.0,Oeste,0.34
362,2026-03-08,Electrónica,576.24,9.0,Sur,0.49
363,2025-08-31,Ropa,1248.85,100.0,Oeste,0.46
364,2024-10-10,Hogar,4486.24,80.0,Este,0.12
365,2025-04-25,Deportes,2113.6,15.0,,0.03
366,2025-03-28,Alimentos,2869.96,74.0,Centro,0.29
367,2025-10-20,Ropa,6479.15,16.0,,0.2
368,2025-05-30,Ropa,3585.86,48.0,Sur,0.09
369,2025-06-30,Alimentos,5574.15,36.0,Este,0.33
370,2024-07-10,Ropa,4124.62,53.0,Oeste,0.08
371,2024-02-18,Alimentos,1690.52,79.0,Centro,0.18
372,2025-05-26,Electrónica,741.13,3.0,Norte,0.4
373,2024-01-17,Hogar,2363.08,19.0,Centro,0.34
374,2024-06-20,Hogar,577.95,,Centro,0.3
375,2024-08-07,Deportes,6186.49,37.0,Oeste,0.47
376,2024-06-06,,7957.37,,,0.06
377,2025-04-21,Deportes,,67.0,Este,
378,2024-02-15,Electrónica,3871.72,,Oeste,0.06
379,2025-01-07,Hogar,8162.09,88.0,,0.07
380,2025-06-01,Electrónica,2226.9,14.0,Norte,0.25
381,2024-04-08,Electrónica,1192.48,,Sur,0.01
382,2026-01-14,,5011.68,35.0,Norte,0.25
383,2024-02-06,Electrónica,6462.25,16.0,Sur,
384,2024-10-06,,5996.94,71.0,Oeste,0.3
385,2024-12-14,Deportes,7139.01,35.0,Norte,0.16
386,2025-05-11,Hogar,568.45,8.0,Este,
387,2024-10-28,Ropa,4282.58,60.0,Oeste,0.39
388,2024-06-29,Hogar,2386.46,12.0,Norte,0.19
389,2025-08-29,Alimentos,7591.45,49.0,Sur,
390,2024-04-08,Deportes,,80.0,Centro,0.19
391,2025-11-30,Alimentos,2814.07,68.0,Norte,0.04
392,2024-04-25,Alimentos,,35.0,Oeste,0.23
393,2024-07-09,Ropa,2535.02,45.0,Sur,
394,2024-09-09,Electrónica,,41.0,Oeste,0.45
395,2024-06-09,Alimentos,3224.9,61.0,Sur,0.38
396,2024-09-12,,,96.0,,0.04
397,2024-11-18,,9736.83,76.0,Norte,0.08
398,2024-05-07,Hogar,3994.3,85.0,Norte,0.02
399,2024-01-18,Hogar,2201.18,15.0,Norte,0.06
400,2026-03-03,Electrónica,1668.85,99.0,Sur,0.24
401,2026-01-04,Electrónica,1731.22,67.0,Este,0.11
402,2025-07-19,Hogar,1926.78,59.0,Oeste,0.32
403,2025-07-23,Ropa,7622.9,2.0,Este,0.02
404,2024-11-18,Deportes,611.22,6.0,Este,0.43
405,2025-11-16,Deportes,9974.02,57.0,Este,0.34
406,2026-03-02,Ropa,,16.0,Centro,0.48
407,2025-09-17,Electrónica,5443.17,23.0,,
408,2024-10-14,,3576.28,95.0,Centro,0.35
409,2025-10-24,Deportes,6902.86,41.0,Oeste,0.08
410,2025-09-30,Hogar,4715.09,30.0,Centro,0.11
411,2024-06-03,Ropa,3291.28,67.0,Oeste,0.14
412,2025-05-04,Hogar,2652.12,55.0,Norte,0.21
413,2025-01-20,Ropa,,80.0,Este,0.29
414,2026-02-23,,2910.6,4.0,Sur,0.34
415,2024-04-13,Ropa,4364.49,100.0,,0.04
416,2025-01-27,,,28.0,Oeste,0.31
417,2024-09-02,Deportes,862.7,50.0,Sur,
418,2024-06-24,Hogar,1860.16,28.0,,0.41
419,2024-02-08,Deportes,1895.83,53.0,Oeste,0.02
420,2025-04-21,Alimentos,6936.79,67.0,,0.2
421,2025-11-12,Ropa,4066.44,26.0,,0.21
422,2026-01-28,Alimentos,7819.89,39.0,Centro,0.29
423,2025-06-21,Deportes,,13.0,Centro,0.05
424,2025-02-11,Hogar,1921.3,71.0,Norte,0.47
425,2025-06-08,Deportes,5629.6,54.0,Sur,0.19
426,2025-05-20,Hogar,7429.34,13.0,Centro,0.2
427,2024-02-05,Hogar,6330.79,59.0,,0.12
428,2025-11-15,,6000.56,,Este,0.39
429,2024-01-20,,7396.36,80.0,Norte,0.0
430,2024-11-16,Deportes,568.75,57.0,Este,
431,2026-02-14,Hogar,7314.48,,Este,
432,2025-05-26,Deportes,2727.28,60.0,Sur,0.48
433,2025-02-03,Deportes,5719.14,47.0,Este,0.02
434,2025-10-15,,2423.81,77.0,Sur,0.03
435,2025-04-15,Alimentos,8388.33,74.0,,0.36
436,2024-05-22,Ropa,4806.11,5.0,Este,
437,2024-04-01,Ropa,6429.76,36.0,,0.45
438,2024-12-19,Electrónica,7941.02,19.0,Este,0.29
439,2026-03-10,Electrónica,8953.25,30.0,Oeste,0.2
440,2025-12-27,,7320.88,41.0,Centro,0.23
441,2024-02-20,Ropa,1488.54,48.0,Centro,0.22
442,2025-10-26,Alimentos,8545.46,28.0,Oeste,0.49
443,2025-11-28,Ropa,,31.0,Norte,0.19
444,2025-07-28,Ropa,6094.88,100.0,Norte,0.05
445,2024-07-08,Ropa,,57.0,Sur,0.14
446,2024-05-04,Ropa,2489.06,43.0,Oeste,0.48
447,2024-05-29,Alimentos,2396.63,65.0,,0.21
448,2024-11-09,,5132.42,9.0,Sur,0.16
449,2025-07-23,Deportes,7508.87,12.0,Este,0.16
450,2024-12-07,,4472.96,,Este,0.0
451,2024-10-31,Electrónica,6339.27,12.0,Norte,0.32
452,2025-11-22,Deportes,,42.0,Sur,0.36
453,2025-11-12,Ropa,6104.26,73.0,Sur,0.18
454,2026-02-21,,8222.79,53.0,,0.44
455,2024-02-23,Alimentos,1805.58,90.0,Norte,0.37
456,2025-03-19,Electrónica,6954.08,94.0,Centro,0.3
457,2025-09-04,,7874.46,57.0,,0.35
458,2024-09-20,Hogar,4471.66,,Sur,0.38
459,2024-02-22,,3233.01,16.0,Centro,0.26
460,2025-07-25,Electrónica,136.43,77.0,Sur,0.2
461,2025-09-11,,7971.25,99.0,Oeste,0.06
462,2024-01-05,Deportes,3280.06,50.0,Centro,0.2
463,2024-04-12,,3573.73,4.0,Oeste,0.28
464,2024-07-14,Electrónica,3360.72,,Sur,0.47
465,2026-02-12,Hogar,4987.89,13.0,Sur,0.08
466,2024-12-15,Alimentos,7025.29,60.0,Este,
467,2024-02-16,Electrónica,7718.85,28.0,Sur,0.12
468,2025-10-17,,3926.31,12.0,Este,0.48
469,2024-09-25,Deportes,6631.35,24.0,Oeste,0.3
470,2025-01-04,,7207.11,92.0,Norte,0.22
471,2025-09-27,Alimentos,2969.87,,,0.17
472,2024-04-15,,,34.0,Este,0.1
473,2025-10-31,Hogar,8946.75,3.0,Norte,0.36
